MEMBERSHIP_NUMBER,MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_CODE,MEMBERSHIP_STATUS
A00001,29,113125,M,M,25200000,1,TYPE-B,45,2,ANNUAL,477,INFORCE
A00002,38,112220,M,M,10339200,1,TYPE-B,36,3,QUARTERLY,255,INFORCE
A00003,12,100000,M,M,14400000,1,TYPE-B,42,1,ANNUAL,7866,INFORCE
A00004,12,100000,M,M,9000000,1,TYPE-B,39,2,ANNUAL,200533,INFORCE
A00005,46,100000,M,M,4800000,1,TYPE-B,27,2,QUARTERLY,6988,INFORCE
A00006,12,110000,,,,1,TYPE-B,48,3,ANNUAL,5311,INFORCE
A00007,36,100000,M,M,24000000,1,TYPE-B,39,2,ANNUAL,4055,INFORCE
A00008,12,120000,M,M,3600000,1,TYPE-B,28,1,QUARTERLY,13100,CANCELLED
A00009,35,120000,,,,1,TYPE-B,35,2,MONTHLY,4522,INFORCE
A00010,33,102700,M,M,14400000,1,TYPE-B,42,2,SEMI-ANNUAL,11266,INFORCE
A00011,12,1000000,M,M,5047008,1,TYPE-B,38,3,ANNUAL,11933,INFORCE
A00012,39,100000,M,M,3600000,1,TYPE-B,35,3,ANNUAL,9499,INFORCE
A00013,12,100000,,,,1,TYPE-B,42,3,QUARTERLY,13900,CANCELLED
A00014,36,101350,M,M,21600000,1,TYPE-B,38,3,ANNUAL,344,INFORCE
A00015,12,100000,M,M,8400000,1,TYPE-B,39,3,QUARTERLY,12199,INFORCE
A00016,12,600000,M,M,1740000,1,TYPE-B,36,1,ANNUAL,11933,INFORCE
A00017,12,200000,M,M,24000000,1,TYPE-B,39,2,QUARTERLY,1422,INFORCE
A00018,12,200000,S,M,2520000,1,TYPE-B,35,0,QUARTERLY,11855,CANCELLED
A00019,12,200000,M,M,8880000,1,TYPE-B,29,3,ANNUAL,12344,CANCELLED
A00020,12,100000.8,S,M,5040000,1,TYPE-B,28,0,MONTHLY,355,CANCELLED
